"2019-03-12 10:21:35 [main] INFO  windpark.Gk73Application - Starting Gk73Application on Fabian-Traxler with PID 13510 (/home/ftraxler/Dokumente/Github/dezsys-gk733-windpark-mom-ftraxler-tgm/Windengine/target/classes started by ftraxler in /home/ftraxler/Dokumente/Github/dezsys-gk733-windpark-mom-ftraxler-tgm/Windengine)
""2019-03-12 10:21:35 [main] INFO  windpark.Gk73Application - No active profile set, falling back to default profiles: default
""2019-03-12 10:21:36 [main] INFO  o.s.c.a.AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@1193aa73: startup date [Tue Mar 12 10:21:36 CET 2019]; root of context hierarchy
""2019-03-12 10:21:37 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
""2019-03-12 10:21:37 [main] INFO  o.s.c.s.DefaultLifecycleProcessor - Starting beans in phase 2147483647
""2019-03-12 10:21:37 [main] INFO  windpark.Gk73Application - Started Gk73Application in 1.96 seconds (JVM running for 6.351)
""2019-03-12 10:21:37 [main] INFO  windpark.Gk73Application - Starting Gk73Application on Fabian-Traxler with PID 13510 (/home/ftraxler/Dokumente/Github/dezsys-gk733-windpark-mom-ftraxler-tgm/Windengine/target/classes started by ftraxler in /home/ftraxler/Dokumente/Github/dezsys-gk733-windpark-mom-ftraxler-tgm/Windengine)
""2019-03-12 10:21:37 [main] INFO  windpark.Gk73Application - No active profile set, falling back to default profiles: default
""2019-03-12 10:21:37 [main] INFO  o.s.c.a.AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@2ec30a36: startup date [Tue Mar 12 10:21:37 CET 2019]; root of context hierarchy
""2019-03-12 10:21:37 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
""2019-03-12 10:21:37 [main] INFO  o.s.c.s.DefaultLifecycleProcessor - Starting beans in phase 2147483647
""2019-03-12 10:21:37 [main] INFO  windpark.Gk73Application - Started Gk73Application in 0.239 seconds (JVM running for 6.595)
""2019-03-12 10:21:38 [main] INFO  windpark.model.Message - Windengine sending Data='Windengine Info: ID = 47, timestamp = 2019-03-12 10:21:37.457, windspeed = 0,310000'
""2019-03-12 10:21:41 [main] INFO  windpark.Gk73Application - Starting Gk73Application on Fabian-Traxler with PID 13510 (/home/ftraxler/Dokumente/Github/dezsys-gk733-windpark-mom-ftraxler-tgm/Windengine/target/classes started by ftraxler in /home/ftraxler/Dokumente/Github/dezsys-gk733-windpark-mom-ftraxler-tgm/Windengine)
""2019-03-12 10:21:41 [main] INFO  windpark.Gk73Application - No active profile set, falling back to default profiles: default
""2019-03-12 10:21:41 [main] INFO  o.s.c.a.AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@66fd6afe: startup date [Tue Mar 12 10:21:41 CET 2019]; root of context hierarchy
""2019-03-12 10:21:41 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
""2019-03-12 10:21:41 [main] INFO  o.s.c.s.DefaultLifecycleProcessor - Starting beans in phase 2147483647
""2019-03-12 10:21:41 [main] INFO  windpark.Gk73Application - Started Gk73Application in 0.357 seconds (JVM running for 10.4)
""2019-03-12 10:21:41 [main] INFO  windpark.model.Message - Windengine sending Data='Windengine Info: ID = 47, timestamp = 2019-03-12 10:21:41.145, windspeed = 7,780000'
""2019-03-12 10:21:44 [main] INFO  windpark.Gk73Application - Starting Gk73Application on Fabian-Traxler with PID 13510 (/home/ftraxler/Dokumente/Github/dezsys-gk733-windpark-mom-ftraxler-tgm/Windengine/target/classes started by ftraxler in /home/ftraxler/Dokumente/Github/dezsys-gk733-windpark-mom-ftraxler-tgm/Windengine)
""2019-03-12 10:21:44 [main] INFO  windpark.Gk73Application - No active profile set, falling back to default profiles: default
""2019-03-12 10:21:44 [main] INFO  o.s.c.a.AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@64ab1cc3: startup date [Tue Mar 12 10:21:44 CET 2019]; root of context hierarchy
""2019-03-12 10:21:44 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
""2019-03-12 10:21:44 [main] INFO  o.s.c.s.DefaultLifecycleProcessor - Starting beans in phase 2147483647
""2019-03-12 10:21:44 [main] INFO  windpark.Gk73Application - Started Gk73Application in 0.299 seconds (JVM running for 13.76)
""2019-03-12 10:21:44 [main] INFO  windpark.model.Message - Windengine sending Data='Windengine Info: ID = 47, timestamp = 2019-03-12 10:21:44.563, windspeed = 23,430000'
""2019-03-12 10:21:47 [main] INFO  windpark.Gk73Application - Starting Gk73Application on Fabian-Traxler with PID 13510 (/home/ftraxler/Dokumente/Github/dezsys-gk733-windpark-mom-ftraxler-tgm/Windengine/target/classes started by ftraxler in /home/ftraxler/Dokumente/Github/dezsys-gk733-windpark-mom-ftraxler-tgm/Windengine)
""2019-03-12 10:21:47 [main] INFO  windpark.Gk73Application - No active profile set, falling back to default profiles: default
""2019-03-12 10:21:47 [main] INFO  o.s.c.a.AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@309078fa: startup date [Tue Mar 12 10:21:47 CET 2019]; root of context hierarchy
""2019-03-12 10:21:48 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
""2019-03-12 10:21:48 [main] INFO  o.s.c.s.DefaultLifecycleProcessor - Starting beans in phase 2147483647
""2019-03-12 10:21:48 [main] INFO  windpark.Gk73Application - Started Gk73Application in 0.508 seconds (JVM running for 17.348)
""2019-03-12 10:21:48 [main] INFO  windpark.model.Message - Windengine sending Data='Windengine Info: ID = 47, timestamp = 2019-03-12 10:21:47.940, windspeed = 50,010000'
""2019-03-12 10:21:51 [main] INFO  windpark.Gk73Application - Starting Gk73Application on Fabian-Traxler with PID 13510 (/home/ftraxler/Dokumente/Github/dezsys-gk733-windpark-mom-ftraxler-tgm/Windengine/target/classes started by ftraxler in /home/ftraxler/Dokumente/Github/dezsys-gk733-windpark-mom-ftraxler-tgm/Windengine)
""2019-03-12 10:21:51 [main] INFO  windpark.Gk73Application - No active profile set, falling back to default profiles: default
""2019-03-12 10:21:51 [main] INFO  o.s.c.a.AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@4a73442d: startup date [Tue Mar 12 10:21:51 CET 2019]; root of context hierarchy
""2019-03-12 10:21:52 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
""2019-03-12 10:21:52 [main] INFO  o.s.c.s.DefaultLifecycleProcessor - Starting beans in phase 2147483647
""2019-03-12 10:21:52 [main] INFO  windpark.Gk73Application - Started Gk73Application in 0.809 seconds (JVM running for 21.29)
""2019-03-12 10:21:52 [main] INFO  windpark.model.Message - Windengine sending Data='Windengine Info: ID = 47, timestamp = 2019-03-12 10:21:51.582, windspeed = 31,970000'
""2019-03-12 10:21:55 [main] INFO  windpark.Gk73Application - Starting Gk73Application on Fabian-Traxler with PID 13510 (/home/ftraxler/Dokumente/Github/dezsys-gk733-windpark-mom-ftraxler-tgm/Windengine/target/classes started by ftraxler in /home/ftraxler/Dokumente/Github/dezsys-gk733-windpark-mom-ftraxler-tgm/Windengine)
""2019-03-12 10:21:55 [main] INFO  windpark.Gk73Application - No active profile set, falling back to default profiles: default
""2019-03-12 10:21:55 [main] INFO  o.s.c.a.AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@53ea3174: startup date [Tue Mar 12 10:21:55 CET 2019]; root of context hierarchy
""2019-03-12 10:21:55 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
""2019-03-12 10:21:55 [main] INFO  o.s.c.s.DefaultLifecycleProcessor - Starting beans in phase 2147483647
""2019-03-12 10:21:55 [main] INFO  windpark.Gk73Application - Started Gk73Application in 0.421 seconds (JVM running for 24.808)
""2019-03-12 10:21:56 [main] INFO  windpark.model.Message - Windengine sending Data='Windengine Info: ID = 47, timestamp = 2019-03-12 10:21:55.488, windspeed = 14,380000'
